,,4 x 4 x 5 = 80 x 3 rep = 240,,,,,
,,BR2121,,,,,
,,"M(1), A(2), B(3), C(4)",,"0(1),10(2), 20(3), 40(4)",,"0(1), 50(2), 110(3), 150(4), 190(5)",
,,rotação 1,,inseto,,tempo,r
REP 3,B,3,10,2,190,5,"0,00279"
REP 1,B,3,20,3,190,5,"0,00551"
REP 2,B,3,20,3,190,5,"0,00295"
REP 3,B,3,20,3,190,5,"0,00177"
REP 1,B,3,40,4,190,5,"0,00247"
REP 2,B,3,40,4,190,5,"-0,00134"
REP 3,B,3,40,4,190,5,"-0,00101"
BR2121,,,,,,,
REP 1,C,4,0,1,0,1,0
REP 2,C,4,0,1,0,1,0
REP 3,C,4,0,1,0,1,0
REP 1,C,4,10,2,0,1,0
REP 2,C,4,10,2,0,1,0
REP 3,C,4,10,2,0,1,0
REP 1,C,4,20,3,0,1,0
REP 2,C,4,20,3,0,1,0
REP 3,C,4,20,3,0,1,0
REP 1,C,4,40,4,0,1,0
REP 2,C,4,40,4,0,1,0
REP 3,C,4,40,4,0,1,0
REP 1,C,4,0,1,50,2,#VALUE!
REP 2,C,4,0,1,50,2,#VALUE!
REP 3,C,4,0,1,50,2,#VALUE!
REP 1,C,4,10,2,50,2,"0,00000"
REP 2,C,4,10,2,50,2,"0,00000"
REP 3,C,4,10,2,50,2,"0,00000"
REP 1,C,4,20,3,50,2,"0,00000"
REP 2,C,4,20,3,50,2,"-0,00211"
REP 3,C,4,20,3,50,2,"0,00000"
REP 1,C,4,40,4,50,2,"0,00000"
REP 2,C,4,40,4,50,2,"0,00000"
REP 3,C,4,40,4,50,2,"-0,00103"
REP 1,C,4,0,1,110,3,#VALUE!
REP 2,C,4,0,1,110,3,#VALUE!
REP 3,C,4,0,1,110,3,#VALUE!
REP 1,C,4,10,2,110,3,"0,00999"
REP 2,C,4,10,2,110,3,"0,01085"
REP 3,C,4,10,2,110,3,"0,00239"
REP 1,C,4,20,3,110,3,"0,00584"
REP 2,C,4,20,3,110,3,"0,00338"
REP 3,C,4,20,3,110,3,"-0,00047"
REP 1,C,4,40,4,110,3,"-0,00071"
REP 2,C,4,40,4,110,3,"-0,00047"
REP 3,C,4,40,4,110,3,"-0,00096"
REP 1,C,4,0,1,150,4,#VALUE!
REP 2,C,4,0,1,150,4,#VALUE!
REP 3,C,4,0,1,150,4,#VALUE!
REP 1,C,4,10,2,150,4,"0,00941"
REP 2,C,4,10,2,150,4,"0,00816"
REP 3,C,4,10,2,150,4,"0,00064"
REP 1,C,4,20,3,150,4,"0,00611"
REP 2,C,4,20,3,150,4,"0,00392"
REP 3,C,4,20,3,150,4,"0,00313"
REP 1,C,4,40,4,150,4,"0,00149"
REP 2,C,4,40,4,150,4,"0,00212"
REP 3,C,4,40,4,150,4,"0,00048"
REP 1,C,4,0,1,190,5,#VALUE!
REP 2,C,4,0,1,190,5,#VALUE!
REP 3,C,4,0,1,190,5,#VALUE!
REP 1,C,4,10,2,190,5,"0,00803"
REP 2,C,4,10,2,190,5,"0,00595"
REP 3,C,4,10,2,190,5,"-0,00188"
REP 1,C,4,20,3,190,5,"0,00493"
REP 2,C,4,20,3,190,5,"0,00196"
REP 3,C,4,20,3,190,5,"0,00295"
REP 1,C,4,40,4,190,5,"0,00085"
REP 2,C,4,40,4,190,5,"-0,00070"
REP 3,C,4,40,4,190,5,"-0,00027"
,,,,,,,
BR3123,,,,,,,
REP 1,M,1,0,1,0,1,0
REP 2,M,1,0,1,0,1,0
REP 3,M,1,0,1,0,1,0
REP 1,M,1,10,2,0,1,0
REP 2,M,1,10,2,0,1,0
REP 3,M,1,10,2,0,1,0
REP 1,M,1,20,3,0,1,0
REP 2,M,1,20,3,0,1,0
REP 3,M,1,20,3,0,1,0
REP 1,M,1,40,4,0,1,0
REP 2,M,1,40,4,0,1,0
REP 3,M,1,40,4,0,1,0
REP 1,M,1,0,1,50,2,#VALUE!
REP 2,M,1,0,1,50,2,#VALUE!
REP 3,M,1,0,1,50,2,#VALUE!
REP 1,M,1,10,2,50,2,"-0,00211"
REP 2,M,1,10,2,50,2,"0,00000"
REP 3,M,1,10,2,50,2,"0,00000"
REP 1,M,1,20,3,50,2,"-0,00325"
REP 2,M,1,20,3,50,2,"-0,00103"
REP 3,M,1,20,3,50,2,"-0,00103"
REP 1,M,1,40,4,50,2,"0,00000"
REP 2,M,1,40,4,50,2,"-0,00156"
REP 3,M,1,40,4,50,2,"0,00000"
REP 1,M,1,0,1,110,3,#VALUE!
REP 2,M,1,0,1,110,3,#VALUE!
REP 3,M,1,0,1,110,3,#VALUE!
REP 1,M,1,10,2,110,3,"-0,00203"
REP 2,M,1,10,2,110,3,"0,00000"
REP 3,M,1,10,2,110,3,"0,00087"
REP 1,M,1,20,3,110,3,"-0,00096"
REP 2,M,1,20,3,110,3,"0,00239"
REP 3,M,1,20,3,110,3,"0,00044"
REP 1,M,1,40,4,110,3,"-0,00630"
REP 2,M,1,40,4,110,3,"-0,03354"
REP 3,M,1,40,4,110,3,"-0,00096"
REP 1,M,1,0,1,150,4,#VALUE!
REP 2,M,1,0,1,150,4,#VALUE!
REP 3,M,1,0,1,150,4,#VALUE!
REP 1,M,1,10,2,150,4,"-0,00238"
REP 2,M,1,10,2,150,4,"0,00000"
REP 3,M,1,10,2,150,4,"-0,00238"
REP 1,M,1,20,3,150,4,"-0,00532"
REP 2,M,1,20,3,150,4,"0,00200"
REP 3,M,1,20,3,150,4,"-0,01535"
REP 1,M,1,40,4,150,4,"-0,00994"
REP 2,M,1,40,4,150,4,#VALUE!
REP 3,M,1,40,4,150,4,"-0,00654"
REP 1,M,1,0,1,190,5,#VALUE!
REP 2,M,1,0,1,190,5,#VALUE!
REP 3,M,1,0,1,190,5,#VALUE!
REP 1,M,1,10,2,190,5,"-0,00269"
REP 2,M,1,10,2,190,5,"0,00050"
REP 3,M,1,10,2,190,5,"-0,00365"
REP 1,M,1,20,3,190,5,"-0,01577"
REP 2,M,1,20,3,190,5,"0,00026"
REP 3,M,1,20,3,190,5,#VALUE!
REP 1,M,1,40,4,190,5,#NUM!
REP 2,M,1,40,4,190,5,#VALUE!
REP 3,M,1,40,4,190,5,"-0,00730"
BR3123,,,,,,,
REP 1,A,2,0,1,0,1,0
REP 2,A,2,0,1,0,1,0
REP 3,A,2,0,1,0,1,0
REP 1,A,2,10,2,0,1,0
REP 2,A,2,10,2,0,1,0
REP 3,A,2,10,2,0,1,0
REP 1,A,2,20,3,0,1,0
REP 2,A,2,20,3,0,1,0
REP 3,A,2,20,3,0,1,0
REP 1,A,2,40,4,0,1,0
REP 2,A,2,40,4,0,1,0
REP 3,A,2,40,4,0,1,0
REP 1,A,2,0,1,50,2,#VALUE!
REP 2,A,2,0,1,50,2,#VALUE!
REP 3,A,2,0,1,50,2,#VALUE!
REP 1,A,2,10,2,50,2,"0,00000"
REP 2,A,2,10,2,50,2,"0,00000"
REP 3,A,2,10,2,50,2,"0,00000"
REP 1,A,2,20,3,50,2,"0,00000"
REP 2,A,2,20,3,50,2,"0,00000"
REP 3,A,2,20,3,50,2,"0,00000"
REP 1,A,2,40,4,50,2,"-0,00103"
REP 2,A,2,40,4,50,2,"0,00000"
REP 3,A,2,40,4,50,2,"0,00000"
