,Cultivar,N0,Rotacao_RPM,Tempo_Dias,Taxa_r
249,Normal,10,700,110,0.00166
250,Normal,10,700,150,0.0027
251,Normal,10,700,190,-0.00055
252,Normal,20,700,50,0.0
253,Normal,20,700,110,0.00239
254,Normal,20,700,150,0.00093
255,Normal,20,700,190,0.0005
256,Normal,40,700,50,0.0
257,Normal,40,700,110,0.0
258,Normal,40,700,150,-0.00034
259,Normal,40,700,190,-0.00151
260,Normal,10,600,50,0.0
261,Normal,10,600,110,0.00427
262,Normal,10,600,150,0.00313
263,Normal,10,600,190,0.00279
264,Normal,20,600,50,0.0
265,Normal,20,600,110,0.0
266,Normal,20,600,150,-0.00341
267,Normal,20,600,190,-0.00227
268,Normal,40,600,50,0.0
269,Normal,40,600,110,-0.00023
270,Normal,40,600,150,-0.0007
271,Normal,40,600,190,-0.00365
272,Normal,10,500,50,0.0
273,Normal,10,500,110,0.00903
274,Normal,10,500,150,0.00754
275,Normal,10,500,190,0.00503
276,Normal,20,500,50,-0.00103
277,Normal,20,500,110,0.00607
278,Normal,20,500,150,0.00445
279,Normal,20,500,190,0.00196
280,Normal,40,500,50,0.0
281,Normal,40,500,110,0.00184
282,Normal,40,500,150,0.00093
283,Normal,40,500,190,-0.00269
